"geoid","totpopraceeth","WNH","BNH","aianNH","asianNH","nhopiNH","hispanic","totpoprace","W","B","totpopraceinc","NHW100_125","NHW125_150","NHW150_200","NHW200up","Bund10","B10_15","B15_20","totpoppov","belowpov","inc100_125","inc125_150","inc150_200","inc200up","incund10","inc10_15","inc15_20","ICErace","ICEraceinc","percWNH","percBNH","perc_hispanic","perc_asianNH","perc_aianNH","perc_nhopiNH","percpov","ICEinc"
"25009206500",3304,923,519,15,257,0,1314,3304,1575,644,1028,18,8,29,17,60,0,9,3180,1125,66,16,45,17,113,66,85,0.12227602905569,0.00291828793774319,0.279358353510896,0.157082324455206,0.397699757869249,0.0777845036319613,0.00453995157384988,0,0.35377358490566,-0.116731517509728
"25009208200",5286,5002,16,0,59,0,158,5286,5146,16,2189,277,98,139,88,16,0,0,5286,370,277,98,149,88,181,120,127,0.943246311010216,0.267702147099132,0.946273174423004,0.0030268634127885,0.0298902762012864,0.0111615588346576,0,0,0.069996216420734,0.0840566468707172
"25009209100",6023,5431,56,0,368,0,167,6023,5598,56,2240,178,205,298,347,0,0,0,6022,119,178,205,368,363,101,90,54,0.892412419060269,0.458928571428571,0.901710111240246,0.00929769217997676,0.0277270463224307,0.0610991200398473,0,0,0.0197608767851212,0.387946428571429
"25009210800",4751,3484,188,0,101,0,875,4751,3706,188,2195,52,33,14,23,0,14,0,4751,536,72,33,14,33,209,160,292,0.693748684487476,0.0492027334851936,0.733319301199747,0.0395706167122711,0.184171753315092,0.0212586823826563,0,0,0.11281835403073,-0.231890660592255
"25009211200",6299,5982,135,13,83,0,86,6299,6036,135,2779,256,208,145,68,0,0,0,6299,432,267,246,145,68,97,188,93,0.928242578187014,0.24361281036344,0.949674551516114,0.0214319733290999,0.0136529607874266,0.0131766947134466,0.00206381965391332,0,0.0685823146531195,0.125224901043541
"25009212100",8992,7468,218,43,526,0,701,8992,7608,225,2623,328,231,290,249,0,0,0,7484,291,328,359,302,253,39,96,92,0.806272241992883,0.418604651162791,0.830516014234875,0.0242437722419929,0.0779581850533808,0.0584964412811388,0.00478202846975089,0,0.0388829502939604,0.386961494471979
"25009221100",4726,4610,10,18,0,0,72,4726,4670,22,1796,199,203,136,235,0,0,0,4726,233,209,203,136,241,110,24,61,0.973338975878121,0.430400890868597,0.975454930173508,0.00211595429538722,0.015234870926788,0,0.003808717731697,0,0.0493017350825222,0.330734966592428
"25009221300",4428,4136,15,0,15,0,193,4428,4322,15,1959,144,65,127,209,15,0,0,4425,284,144,65,127,209,73,63,121,0.9306684733514,0.270546197039306,0.934056007226739,0.00338753387533875,0.0435862691960253,0.00338753387533875,0,0,0.064180790960452,0.147013782542113
"25009251300",2982,175,81,0,114,0,2608,2982,527,205,1118,0,0,0,0,0,0,0,2982,1399,7,0,0,0,237,238,99,0.0315224681421865,0,0.0586854460093897,0.0271629778672032,0.87458081824279,0.0382293762575453,0,0,0.469148222669349,-0.507155635062612
"25009251600",5512,1255,41,0,318,0,3887,5512,1804,243,1882,14,0,19,28,29,26,0,5500,1771,36,0,29,28,247,228,154,0.220246734397678,0.00318809776833156,0.227685050798258,0.00743831640058055,0.705188679245283,0.0576923076923077,0,0,0.322,-0.28480340063762
"25009253100",5148,4722,89,12,83,0,173,5148,4741,89,2201,168,224,103,179,0,0,0,5099,200,181,235,103,179,95,47,48,0.89996114996115,0.306224443434802,0.917249417249417,0.0172882672882673,0.0336052836052836,0.0161227661227661,0.00233100233100233,0,0.0392233771327711,0.230804179918219
"25009253203",4100,3920,0,0,106,0,74,4100,3994,0,1457,140,172,211,445,0,0,0,4065,21,140,191,211,477,11,31,22,0.95609756097561,0.664378860672615,0.95609756097561,0,0.0180487804878049,0.0258536585365854,0,0,0.00516605166051661,0.655456417295813
"25005631300",5119,4509,132,0,232,0,179,5119,4635,132,2037,172,61,246,121,0,0,0,5119,237,172,65,258,121,52,103,40,0.855049814416878,0.294550810014728,0.880836100800938,0.0257862863840594,0.0349677671420199,0.0453213518265286,0,0,0.0462981050986521,0.206676485027
"25005631500",2799,2247,9,36,107,0,304,2799,2551,9,1083,110,40,79,8,0,0,0,2787,213,129,49,79,45,60,18,65,0.79957127545552,0.218836565096953,0.802786709539121,0.00321543408360129,0.108610217934977,0.038227938549482,0.0128617363344051,0,0.0764262648008611,0.146814404432133
"25005640100",4710,3803,62,0,145,0,499,4710,4152,107,1839,82,114,55,11,23,0,0,4710,850,82,114,55,11,171,97,100,0.794267515923567,0.129961935834693,0.807430997876858,0.0131634819532909,0.105944798301486,0.0307855626326964,0,0,0.180467091295117,-0.0576400217509516
"25005640300",4114,2976,362,0,135,0,554,4114,3359,398,1673,74,0,21,0,73,0,24,4103,1041,74,0,21,0,353,201,169,0.635391346621293,-0.00119545726240287,0.723383568303354,0.0879922216820613,0.134662129314536,0.0328147788040836,0,0,0.253716792590787,-0.375373580394501
